"","X","commit_hash","commit_message","fix","classification","contains_bug","ns","nd","nf","entrophy","la","ld","lt","ndev","age","nuc","exp","rexp","sexp","glm_probability","name","commit_words","bayesian_score","spam_ham","jacob","charles"
"2",2,"349c895f8b7fc4bb19ad9e85eeef0ec63a694b46","EA-50983","False","None","f",1,1,2,0.845350936622437,8,3,963.5,21,4.90938657407407,87,3711.5,1.12254196466405,3526,0,"intellij-plugins",2,0.5,"ham","True","True"
"9",9,"4980c3d1716398e168fa13ae8521804fe5c2545d","--Empty Message--","False","None","f",1,1,1,0,0,2,156,1,5.78703703703704e-05,41,4753,17281,4322,0,"icpc",2,0.1043363576,"ham","True","True"
"16",18,"edb13d54688dfed1559ae5cfdde4e454dbd4d0ab","Added wait methods","False","Feature Addition","t",1,1,1,0,22,2,2417,8,69.6293171296296,39,9687,1.01436176658373,70,0,"MDSplus",3,0.859381820253,"spam","True","True"
"18",20,"27b8e59c24b9bc39a31248c74d5d59803a14a621","remove temporary leniency","False","None","f",1,1,1,0,3,5,192,99,6.07925925925926,10,2877,1.16449372486901,69,0,"elasticsearch",3,0.74792672657,"ham","True","True"
"19",21,"c6098ef1fc69fe117343cc2e3db0d2b97b2daa6f","SharedPreferences commit -> apply.Change-Id: I3c54bcd78ed74107840254a9861dc68f9bec3cc8n","False","None","f",1,1,1,0,2,2,1108,5,1.11611111111111,12,0,0,0,0,"android_packages_apps_DeskClock",6,0.601161020146,"ham","True","True"
"35",39,"e9d3dd60ba77a1723ad8e97aea2782e8d562e046","JOP13","False","None","f",1,1,1,0,3,13,-9794,21,0.490810185185185,2512,2015,3.03744753100976,2015,0,"android_build",1,0.822790951727,"spam","True","True"
"44",49,"41d0f0ae101dd1639e294b0bef4cf907a9c5eb81","votegit-svn-id: https://svn.apache.org/repos/asf/tomcat/tc6.0.x/trunk@947608 13f79535-47bb-0310-9956-ffa450edef68n","False","None","f",1,1,1,0,8,1,198,7,0.0296527777777778,2110,1006,34.7236533957845,297,0,"tomcat60",20,0.843191240932,"spam","True","True"
"48",53,"80ccdc16366a886a8a0d08b58b346e82747a8fc2","whitespace","False","None","f",1,1,1,0,7,10,136,11,74.2699652777778,4,1238,1.01346439299197,863,0,"JacORB",1,0.804449421327,"ham","True","True"
"60",66,"52087b4e205395592325c650ab8e7b3bee868667","Docs tweaks","False","Non Functional","f",1,2,2,0.485460760745913,8,11,55,23,0.0090625,4,7911.5,216.412293853073,3906,0,"TiddlyWiki5",2,0.695385469085,"spam","True","True"
"62",68,"cb2306b4032fee340394d53ca808e521002da082","how about this?git-svn-id: https://valelab.ucsf.edu/svn/micromanager2/trunk@5910 d0ab736e-dc22-4aeb-8dc9-08def0aa14fdn","False","None","f",1,1,1,0,1,1,155,5,0.0003125,19,1802,3201,53,0,"PrecisExciteTCP",16,0.592183768001,"ham","True","True"
"64",70,"471743d1aee84a07c57d1faf4be783963194c32c","","False","None","f",1,1,1,0,2,2,163,8,1.19326388888889,4,2743,1.83803759529768,54,0,"aio-portal",0,0.803611827993,"spam","True","True"
"99",105,"ca8ba5cdd752f495b02076d1b5e315be83686f71","Changes.","False","None","f",1,1,1,0,4,1,1163,5,0.841400462962963,85,871,2.18849471092342,143,0,"Colloquy",1,0.34856169929,"ham","True","True"
"103",109,"9604ba836e6db0fee992847d9d74f1bdfd5bc7be","Just pull everything from Mobile and shared bits for tablet. :D","False","None","f",1,3,11,1.66772383521174,13,425,38.6363636363636,1,103.557702020202,10,723,0.911428383632554,77,0,"status-net-mirror",7,0.0443612937437,"spam","True","True"
"106",112,"132d42af381e454b4c3460c553bb0f93e6808f31","remove more dead code. [126]","False","None","f",1,1,2,1,0,10,622.5,5,0.0075462962962963,38,166.5,100.386503067485,166,0,"mcidasv",4,0.751094987693,"spam","True","True"
