"","commit_hash","commit_message","fix","classification","contains_bug","ns","nd","nf","entrophy","la","ld","lt","ndev","age","nuc","exp","rexp","sexp","glm_probability","name","commit_words","bayesian_score","spam_ham"
"3415617","1f2c226d8e9456ef43412f76a3b82f8dadf53602","* Added ctimer_restart(). Patch by Moritz Struebe. * Added ctimer_expired().","False","Feature Addition","f",1,1,2,0.870346054692958,101,2,111.5,1,850.569328703704,8,396.5,1.0009722196222,69,0,"Contiki-IDS",7,4.90332048835e-05,"ham"
"1199669","69c52b6e941cc8e53e9827ad0b01fe005cf9217a","Fix: add_definition for static on windowsgit-svn-id: http://svn.pointclouds.org/pcl/trunk@715 a9d63959-f2ad-4865-b262-bf0e56cfafb6n","True","Corrective","f",1,1,1,0,14,4,63,7,0.992106481481482,8,376,2.00795632189272,33,0,"PCLMirror",18,0.661042283444,"ham"
"966250","692a8813bb4bd23454a954a35eae74757fdcf3f9","Removed files for build environments not supported any more.git-svn-id: https://tigervnc.svn.sourceforge.net/svnroot/tigervnc@2429 3789f03b-4d11-0410-bbf8-ca57d06f2519n","False","None","f",1,11,18,3.69450118462586,0,530,29.4444444444444,1,1333.97457175926,18,9925.5,1.0001455594995,4526,0,"tigervnc",21,0.821395768937,"ham"
"1632682","4d903a5ac68079da221a97a9f7e0813273495cce","803 Build version advanced to 5591-842svn path=/trunk/gigaspaces/; revision=87948nnnFormer-commit-id: c4814b13c2f005da76e12fb9018eb744fb188491","False","None","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OpenSpaces",14,0.5,"ham"
"488904","d83bd9fd4fe3c7c7dc259c568642c1ad68b9f04a","Fixed Kokusho, the Evening Star.","True","Corrective","f",1,1,1,0,1,1,53124,11,0.00173611111111111,119,1211,577,1211,0,"wagic",4,0.0383386933097,"ham"
"4337270","b060100adfd5e9444268941ea9b4ec958a154fed","push correct directory onto central-registry's","False","None","f",1,2,2,0.863120568566631,12,9,509,2,2.09802083333333,152,522.5,1.27690705972763,523,0,"clocc",5,0.652473793015,"ham"
"2698391","2f6ddb90938ea23b2e9aefb4430b8c208c48e445","Add support to CssResource for unknown at-rules.External code review at  http://gwt-code-reviews.appspot.com/130817nnngit-svn-id: https://google-web-toolkit.googlecode.com/svn/trunk@7439 8db76d5a-ed1c-0410-87a9-c151d255dfc7n","False","Feature Addition","f",1,4,6,2.33486498330385,48,3,393,31,34.8096122685185,31,2.5,0.839381306812298,5,0,"gwt",31,0.313873209642,"ham"
"3833044","c5a6e234a448d02e9d6c1d8401ef2337fda64933","Silently wait for JAI to be available","False","None","f",1,1,1,0,0,1,696,18,0.00533564814814815,7,1534,188.418655097614,1335,0,"geotools",4,0.5,"ham"
"1157535","6bbdefafdbf1ccf77502c9dcd771fac0378c1e30","bump max memory for integration tests since default TriMet GTFS quadrupled in size (todo: look into using smaller version for integration-tests; refs #213)","False","Preventative","f",1,1,1,0,2,2,202,6,45.9834027777778,10,347,1.02174697694367,10,0,"OpenTripPlanner",19,0.35820946732,"ham"
"3991804","a4b84e46eecf672e0e219eb8b7a229aba39a1f17","Added two partial tests.","False","Feature Addition","f",1,1,2,0.960518707476616,146,0,0,1,0,0,374.5,0,346,0,"ogre",3,0.658986702188,"ham"
"1546434","fcb12708dbe8a658eb9e0a893defd3539e97a229","Externalize strings","False","None","f",1,4,15,3.26645312733235,237,168,220.133333333333,10,40.2829359567901,121,23,1.00390402631249,30,0,"rt",2,0.0539211024146,"ham"
"3131903","0ec90f2b03799dfa040aaaa4aa9d5324262f7abf","Display output error in the exception's toString..Change-Id: I050a663fc760f0b0c98a7d8dbcfa141168e30030n","False","None","f",1,1,2,0.650022421648354,30,0,38,13,66.4147222222222,2,1111.5,1.01129267690815,795,0,"openbox_sdk",8,0.402422449478,"ham"
"3637843","f717f1e628782cc54a69ce589249d694a77015bb","threadvar alternative","False","None","f",2,3,4,1.51972846157956,24,10,605.5,6,3.79549479166667,167,1984.5,1.32123473540988,104,0,"Nimrod",2,0.79833263376,"spam"
"3741717","6f5a9235ccba15922fc68ac303e994dea6e3f040","Fix compressed cobble giving weird/incorrect amounts of seared stone. #879","True","Corrective","f",1,1,1,0,1,1,1433,22,0.0105555555555556,23,86,95.7368421052632,85,0,"TinkersConstruct",10,0.5,"spam"
"393967","f58637bdec639936a4d6dd9c1d8ac504a600ee5e","FORGE-1174: Created JSTL setup","False","None","f",1,3,3,1.58494381076905,185,93,31,1,0.000771604938271605,1,5630,433,477,0,"core",5,0.762401609486,"ham"
"3077469","887a2ea1f879064034d182ab335cbacf3329a0af","Removed y inversion from screenXYZ methods.","False","None","f",1,1,1,0,0,9,8866,8,1.57122685185185,101,3588,1.63644533494409,2848,0,"processing",5,0.779854833904,"ham"
"3113098","a682fbdcdadfe887193d3d05ba3010f911efb329","add some progress indication and error handling to template discovery","False","Feature Addition","f",1,5,7,2.02017547480371,80,16,701,9,0.467683531746032,491,3439,2.27193367591074,3436,0,"rstudio",7,0.478925180539,"ham"
