"","commit_hash","commit_message","fix","classification","contains_bug","ns","nd","nf","entrophy","la","ld","lt","ndev","age","nuc","exp","rexp","sexp","glm_probability","name","commit_words","bayesian_score","spam_ham"
"140697","357cd37e4683c201b45adc82aa163c99d581ddd0","Implement statistical reporting for ofs/oss layers.","False","None","f",1,1,4,1.76524652837874,14,4,352,8,657.283628472222,91,4255.5,1.00216432440901,4014,0,"xrootd",6,0.627272118264,"ham"
"2612216","3c14faa08a4aa8b244f45b4fe2d1d3f38ce94203","Merge branch 'master' of https://pascal.leclercq@code.google.com/p/xdocreport/","False","Merge","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"xdocreport",11,0.704969870245,"ham"
"674531","47511670aaad85ab068902151c9c3f84573fbc99","Used io::poll instead of libev for recv_data.Review: https://reviews.apache.org/r/27507n","False","None","f",1,1,1,0,6,17,3143,28,0.0848726851851852,65,49525,12.782353743352,496,0,"mesos",13,0.717991670258,"ham"
"4003422","61ded9623b95732b999ade9a56fb987eb2e94fc3","Merge pull request #936 from isuftin/masterFix for 'disable' button in map identification window not working","False","Merge","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"coastal-hazards",12,0.5,"ham"
"181019","a53aa45be0fe2d2f8777e089bce9ff4091e3e9e2","tcp: Initial image descriptionIntroduce the image file for tcp info, its entry and the show method.nnSigned-off-by: Pavel Emelyanov <xemul@parallels.com>n","False","None","f",2,2,6,1.89394328603847,50,0,228.5,5,1.54525848765432,359,834.5,49.9758817131216,559,0,"crtools",17,0.531524897663,"ham"
"3665938","3f6cb426c5f9eef5b7b6efb8bbc33cd73ee5987e","take into account initial indent level (given by newer format method call). If invoked the old way, guess the initial indent level as we used to.git-svn-id: https://rubyeclipse.svn.sourceforge.net/svnroot/rubyeclipse/trunk@1335 0bd42bcd-5f16-0410-9896-c9ec0b0ce843n","False","Feature Addition","f",1,1,1,0,18,8,461,4,7.92966435185185,1,1952,1.12610874251777,564,0,"Ruby-Refactoring",34,0.5,"ham"
"2380103","63766a89a18e8476f6e4cbac505a2a827d0490ab","am b64246ae: am c8e3a27b: Reconcile with jb-mr1-factory-release jb-mr1-release - do not merge* commit 'b64246ae1b00eacd5323f8a8db7249bd726c4f33':n","False","Merge","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"android_system_core",14,0.79245280011,"ham"
"2513902","7d143cce3709c4b1e19e54427507f5a64fc9b1a2","OPAL-664 - Provided a 'next step' to all import wizard steps.","False","None","f",1,1,3,1.57943400292497,15,1,99.6666666666667,5,0.521624228395062,3,464,3.56203763066592,200,0,"opal",7,0.5,"ham"
"1237193","85bbc135559a7b8bae418f193eb9661ded1afcf2","Bump to 3.0.0-5, move examples, demos and the example PMDAs or those shipping source code into the libs-devel package.Signed-off-by: Mark Goodwin <mgoodwin@redhat.com>n","False","None","f",1,1,1,0,9,3,217,8,13.9119560185185,20,47,1.07188061827315,14,0,"pcp",22,0.816460950484,"spam"
"4268807","aa040b7e1dc19a97f509b15df817cff9433a5d24","Fix some issues with the ClassLoader changes for ServiceLoader.git-svn-id: https://svn.java.net/svn/swingx~svn/trunk@4109 1312f61e-266d-0410-97fa-c3b71232c9acn","True","Corrective","f",1,1,1,0,41,2,1077,15,0,7,9530,0,149,0,"swingx",22,0.5,"ham"
"3666068","65c68f56f2333831b6922200884d5825c0c5ceec","*** empty log message ***git-svn-id: https://rubyeclipse.svn.sourceforge.net/svnroot/rubyeclipse/trunk@1443 0bd42bcd-5f16-0410-9896-c9ec0b0ce843n","False","None","f",1,1,1,0,4,2,143,7,22.9304282407407,1,2275,1.04361017550572,625,0,"Ruby-Refactoring",19,0.23014823217,"ham"
"3381581","e403bf30dac6b6a133f3d02b71d1b9bcc246e0a6","fix emptyExample_linux64 to work with new library structure","True","Corrective","f",1,1,1,0,145,140,256,1,95.8098611111111,2,722,1.01043733900042,270,0,"pcDuino-openFrameworks",6,2.755467576e-05,"ham"
"1088967","30c81806945cf0766ac034de18448113839d31cb","removed redundant {}s","False","None","f",1,1,1,0,6,12,87,6,149.930601851852,8,3456,1.00666975245646,1507,0,"gef",2,0.740465246697,"spam"
"2445860","ff1a92b0158c90d2b57a78a0e454109333fe885d","Fix [2781661] - Doc Engine for Charge in Cash Journal Thanks to Cong Le (vietsourcing) https://sourceforge.net/tracker/?func=detail&atid=883808&aid=2781661&group_id=176962","True","Corrective","f",1,1,1,0,2,2,257,20,138.317974537037,3,20510,1.00722971835979,11315,0,"adempiere",22,0.5,"ham"
"2057725","87a281cbfa0211d178ea81db738fc84ae1c65bac","Catalan localization (mentioned in ChangeLog + 2 new strings)","False","Feature Addition","f",2,2,2,0.91829583405449,3,0,807,17,0.879409722222222,427,22913.5,1.60843313756031,2639,0,"android-arabic-reader",7,0.5,"ham"
"624581","efcfcde639d7fcb18d687a5684288b0f55979249","Checkstyle.","False","None","f",1,1,1,0,0,11,69,1,1.04203703703704,4,6765,1.95965878798649,4341,0,"the_grinder",1,0.707186613519,"ham"
"4159193","70e05e2669f70bd9d9985c43119fe4b0c728ebec","u00e5u008eu00bbu00e6u008eu0089u00e7u00bcu0096u00e8u00afu0091u00e8u00adu00a6u00e5u0091u008a","False","None","f",1,1,1,0,2,1,37,14,0.181435185185185,2,609,6.51161010461853,343,0,"nutz",1,0.585640808178,"ham"
"2891661","1d09a06b7df0856e2df6d98c639c3d334961a037","*** empty log message ***git-svn-id: svn+ssh://svn.java.net/flexdock~svn/trunk@355 466b13bf-535e-ee63-ab3f-edaa65664d73n","False","None","f",1,1,3,1.57338257605811,84,28,123.333333333333,4,4.86797839506173,8,148,4.3791405000345,148,0,"flexdock",19,0.616235118459,"ham"
"2036534","349a08963aeb2e69a0f70a2992bc626bceb4a2ae","Fixed malformed comments.","True","Corrective","f",1,1,1,0,3,3,169,1,1329.73563657407,2,24759,1.00075202917971,17642,0,"squirrel-sql",3,0.0322059762781,"ham"
"4331291","0371d1567ac2d7bcd8a76b38e252aa8f98221daa","Make Silverlight upload in pieces. Fixes #236Rationale: https://groups.google.com/d/msg/overview-dev/41UkkYNV9MU/YrBzf6tOLDUJn","True","Corrective","f",1,2,2,0,86,46,109.5,1,0.363217592592593,10,1715.5,3.0648779555159,37,0,"overview-server",16,0.836801343124,"spam"
"2383784","3cb389aeb8a4994280e664aaa833a39925094eef","JavaEE (CDI) approach","False","None","f",1,1,1,0,1,1,195,1,3.08836805555556,321,37178,1.32379560402496,11533,0,"dbflute",3,0.743613490229,"ham"
