"","commit_hash","commit_message","fix","classification","contains_bug","ns","nd","nf","entrophy","la","ld","lt","ndev","age","nuc","exp","rexp","sexp","glm_probability","name","commit_words","bayesian_score","spam_ham","jacob","charles"
"84","000b626dbc5481d71e7236b4d79e9817bcb66c9a","Merge remote-tracking branch 'xpdo/develop' into bug-7798* xpdo/develop:n  [#7797] Avoid E_NOTICE from array_diff_assoc change in 5.4n  Prefix indexes with table name for sqliten  Fix xPDOTest::testGetFields for sqlite/sqlsrvn","False","Merge","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"modx",27,0.675722170505,"ham","False","False"
"131","004ee2222ad306a02fe686c55095e409eacc0613","Correction of interrupt handling","False","None","f",1,1,2,0.813642212596994,113,54,1030,8,0.869189814814815,52,6793.5,1.86287251324935,4377,0,"jop",3,0.5,"ham","False","False"
"173","013a8d05850b30550d75faadd165deee332da119","GS-285 remove an unneeded field + codesvn path=/trunk/gigaspaces/; revision=36602nnnFormer-commit-id: 5251770e12d64e185304b839eab7bceb82872ce7","False","None","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"OpenSpaces",14,0.838020512471,"spam","False","True"
"375","01f1064b21b35760875a6642cf8d6b197e15d2d8","Preparing for 1.13-SNAPSHOT development.git-svn-id: svn+ssh://src.earth.threerings.net/narya/trunk@6801 542714f4-19e9-0310-aa3c-eee0fc999fb1n","False","None","f",4,4,4,2,4,4,104.5,18,0.00246527777777778,90,76.5,212.267605633803,2,0,"narya",22,0.634277384133,"ham","False","False"
"27","03b2aaa44a745363f523fa52d54656e80d667112","convert to plug-in project","False","None","f",1,2,3,1.56005087890449,23,5,9,5,405.219143518518,7,3968,1.00107605928804,218,0,"gef",3,0.796642009767,"spam","False","False"
"165","042876b5597f2e0d5cbd150e8194ce6422b76d73","Better detection of thread termination at end of test Better failure messages so it is easier to see the cause of any failure immediatelygit-svn-id: http://svn.apache.org/repos/asf/tomcat/trunk@1173020 13f79535-47bb-0310-9956-ffa450edef68n","True","Corrective","t",1,1,1,0,20,6,279,12,11.7045486111111,9,15092,1.08543687016266,1163,0,"apache-tomcat-8",29,0.674473111127,"ham","False","False"
"231","0470e5e8478be91b6e6085285ada143c1e111513","Merge Catch ISE during AutoDiscover. into jb-ub-mail-ur10","False","Merge","f",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"packages_apps_Exchange",8,0.205122603104,"ham","False","False"
"128","054c574caa6cc4a86c422005270b51c71dd78e46","Made blockly toolbox load synchronous","False","None","f",1,1,1,0,4,2,570,15,14.8031018518519,42,93,1.06755340941432,84,0,"vwf",5,0.589366873049,"ham","False","False"
"323","06ee913c8d5cd1afaa3c5573430f07e5655e1edf","IndexPack: Correct thin pack fix using less than 20 bytesIf we need to append less than 20 bytes in order to fix a thin packnand make it complete, we need to set the length of our file back tonthe actual number of bytes used because the original SHA-1 footer wasnnot completely overwritten.  That extra data will confuse the headernand footer fixup logic when it tries to read to the end of the file.nnThis isn't a very common case to occur, which is why we've nevernseen it before.  Getting a delta that requires a whole object whichnuses less than 20 bytes in pack representation is really hard.nGenerally a delta generator won't make these, because the deltanwould be bigger than simply deflating the whole object.  I onlynmanaged to do this with a hand-crafted pack file where a 1 bytendelta was pointed to a 1 byte whole object.nnNormally we try really hard to avoid truncating, because itsntypically not safe across network filesystems.  But the odds ofnthis occurring are very low.  This truncation is done on a filenwe have open for writing, will append more content onto, and isna temporary file that we won't move into position for others tonsee until we've validated its SHA-1 is sane.  I don't think thentruncate on NFS issue is something we need to worry about here.nnChange-Id: I102b9637dfd048dc833c050890d142f43c1e75aenSigned-off-by: Shawn O. Pearce <spearce@spearce.org>n","False","None","f",2,2,2,0.52764232609436,67,0,653.5,10,132.479895833333,5,664.5,1.00440009541934,168,0,"jgit",134,0.831566791204,"ham","False","False"
"30","079cd485f32840311f54518ced872036a990885d","[FIX] XQuery: descendant to child path resolution revised","True","Corrective","t",1,7,14,3.2296723367048,29,25,288.142857142857,35,13.4886665013228,441,673.5,1.03208364680217,662,0,"basex-all",7,0.497812625209,"ham","False","False"
