"","x"
"1","4Dnest"
"2","accumulo"
"3","ace"
"4","activemq-cpp"
"5","Activiti"
"6","adempiere"
"7","adobe-flex-pmd"
"8","aio-portal"
"9","ajaxplorer"
"10","ajaxplorer-core"
"11","AKeyboard"
"12","akvo-flow"
"13","Alitheia-Core"
"14","ambari"
"15","amcat"
"16","amuse"
"17","andors-trail"
"18","android"
"19","android_build"
"20","android_dalvik"
"21","android_packages_apps_Calendar"
"22","android_packages_apps_Contacts"
"23","android_packages_apps_DeskClock"
"24","android_packages_apps_Dialer"
"25","android_packages_apps_Phone"
"26","android_packages_apps_Settings"
"27","android_packages_apps_Trebuchet"
"28","android_system_core"
"29","android-arabic-reader"
"30","AndroidTD"
"31","anjuta"
"32","anki"
"33","ANNIS"
"34","AntiCheat"
"35","apache-hosted-cassandra"
"36","apache-tomcat-8"
"37","apc_b2g_build"
"38","App-Inventor-Gallery"
"39","appfuse"
"40","application"
"41","archiva"
"42","ardupilot-mega"
"43","ares-project"
"44","aries"
"45","arquillian-graphene"
"46","astridclone"
"47","atlas"
"48","atmosphere"
"49","aura"
"50","Auto-B-Day"
"51","autopsy"
"52","autotest"
"53","avian"
"54","babble"
"55","bagit-java"
"56","bandwidth-on-demand"
"57","barry"
"58","basex-all"
"59","BatooJPA"
"60","beagle"
"61","big-data-plugin"
"62","bigbluebutton"
"63","biojava"
"64","biosources-test-subtree"
"65","bison"
"66","bitrig-xenocara"
"67","blacktie"
"68","bloatit"
"69","blojsom-sourceforge"
"70","blueprints-seas"
"71","boost"
"72","bsc-project"
"73","bw-classic"
"74","caadapter"
"75","cacique"
"76","cadmium"
"77","cadpage"
"78","caleydo"
"79","camlistore"
"80","camod"
"81","camunda-bpm-platform"
"82","candlepin"
"83","capdemat"
"84","carat"
"85","carrot2"
"86","cartoweb3"
"87","caTissue"
"88","catissue-core"
"89","catissue-dynamic-extensions"
"90","cda"
"91","cdt-core"
"92","cedet"
"93","cegis"
"94","cesium2"
"95","ceylon"
"96","cgeo"
"97","ChatHammer-9000"
"98","check_mk"
"99","chico"
"100","chipster"
"101","chisimba"
"102","chukwa"
"103","Chunky"
"104","cinder_base"
"105","Citizens"
"106","ClassyGames"
"107","clever"
"108","clocc"
"109","cloud-odata-java"
"110","Cloudify-iTests"
"111","cloudify-widget"
"112","cloudreader"
"113","cmu-sphinx4"
"114","coastal-hazards"
"115","cobbler"
"116","cocos2dx-js-callbacks"
"117","coge"
"118","collectd"
"119","Colloquy"
"120","com"
"121","commons-lang"
"122","commons-math-optimizers"
"123","commons-vfs"
"124","commonsense-frontend"
"125","console"
"126","Contiki-IDS"
"127","continuum"
"128","core"
"129","core-geonetwork"
"130","corsix-th"
"131","cosmo"
"132","coweb"
"133","cpu-bitminer"
"134","crtmpserver"
"135","crtmpserver-os_x"
"136","crtools"
"137","cruisecontrol"
"138","crux-framework"
"139","CS143-Project"
"140","csft5"
"141","csipsimple"
"142","csolve"
"143","ctags"
"144","CVC4"
"145","cyberdojo"
"146","cyklotron"
"147","cytoscape-impl"
"148","cytoscape2"
"149","dANN"
"150","dasher"
"151","databus"
"152","datahappi"
"153","dbflute"
"154","DBS"
"155","dcache"
"156","ddb-next"
"157","ddd"
"158","deegree3"
"159","delving"
"160","Demigods"
"161","Denizen"
"162","derby"
"163","development"
"164","dimple"
"165","directory-shared"
"166","directory-studio"
"167","DMDirc"
"168","dnd"
"169","Docear"
"170","dojox"
"171","dojox-oldmirror"
"172","domjudge"
"173","dotCMS"
"174","dresdenocl"
"175","drools"
"176","druid"
"177","DSpace"
"178","DSpace-SVN-Deprecated"
"179","eclipse"
"180","ecologylabFundamental"
"181","elasticsearch"
"182","Electric-Expansion"
"183","EMS"
"184","emul"
"185","encog-java-core"
"186","encuestame"
"187","EnderIO"
"188","enkive"
"189","errai"
"190","escidoc-core"
"191","Essentials"
"192","etoile"
"193","Etoile"
"194","evolution-data-server"
"195","experiment"
"196","exponent-cms"
"197","faaa_project"
"198","fbc"
"199","fcrepo"
"200","fcrepo-before33"
"201","fcrepo-historical"
"202","featurehouse"
"203","felix"
"204","FermaNext"
"205","fitnesse"
"206","fixmystreet"
"207","flamingo"
"208","fop"
"209","fossology"
"210","FProj_Gruppe48"
"211","framework"
"212","FrameworkBenchmarks"
"213","frameworks_av"
"214","freeplane"
"215","FreeRDP"
"216","fritzing"
"217","Frost"
"218","frostwire-desktop"
"219","functional-tests"
"220","fuse"
"221","g3m"
"222","galleria"
"223","gatein-portal"
"224","Gdcm"
"225","geany"
"226","genomix"
"227","geo-platform"
"228","geogebra"
"229","geoknow"
"230","geoserver-old"
"231","geotools"
"232","gephi"
"233","gerrit"
"234","gettext"
"235","geworkbench-core"
"236","gforth"
"237","giraph"
"238","gitblit"
"239","glusterfs"
"240","gnorasi"
"241","google-closure-compiler"
"242","gradecraft-development"
"243","grails"
"244","grailsnolib"
"245","graphx"
"246","GridSphere"
"247","gridworks"
"248","grizzly-mirror"
"249","groovy"
"250","gSDL"
"251","guicey"
"252","gwt"
"253","gwtquery"
"254","h-store"
"255","h2-bitmap"
"256","H2-Mirror"
"257","hadoop"
"258","hadoop-1"
"259","hadoop-fork"
"260","haxe"
"261","hbase_namespace"
"262","hbird"
"263","hermes"
"264","hibernate-orm"
"265","highcharts"
"266","hive"
"267","hk2"
"268","HoloEverywhere"
"269","hornetq-old"
"270","hostap-ct"
"271","htmlparser"
