"","proj","AUC","Brier","Chi","Pval"
"1","4Dnest",0.793423274888645,0.153645590499737,NA,NA
"2","accumulo",0.798743112685106,0.136812712781846,NA,NA
"3","ace",0.758647992633311,0.163180266097723,NA,NA
"4","activemq-cpp",0.789916141603155,0.159130523476185,NA,NA
"5","Activiti",0.811191584010593,0.128022222033788,NA,NA
"6","adempiere",0.672988786191057,0.133137323485441,NA,NA
"7","adobe-flex-pmd",0.822487681263365,0.159333346752636,NA,NA
"8","aio-portal",0.685289874784196,0.0915740930642654,NA,NA
"9","ajaxplorer",0.833699138079301,0.0547571695418174,NA,NA
"10","ajaxplorer-core",0.84535828486319,0.0308416553197979,NA,NA
"11","AKeyboard",0.898889080010766,0.108368174383089,NA,NA
"12","akvo-flow",0.806968598884183,0.125679257872827,NA,NA
"13","Alitheia-Core",0.649181065232157,0.152991752290682,NA,NA
"14","ambari",0.737946927025484,0.136617386638,NA,NA
"15","amcat",0.777883406861587,0.177673289758182,NA,NA
"16","amuse",0.785944290876353,0.156291200796935,NA,NA
"17","andors-trail",0.829323204319629,0.123816289977417,NA,NA
"18","android",0.755709690626399,0.138451589503276,NA,NA
"19","android_build",NA,NA,NA,NA
"20","android_dalvik",0.871950829845435,0.0986093860231155,NA,NA
"21","android_packages_apps_Calendar",0.938246617417617,0.0667654809919061,NA,NA
"22","android_packages_apps_Contacts",0.934413718351339,0.0874988907083356,NA,NA
"23","android_packages_apps_DeskClock",0.951891447567257,0.0514203884021617,NA,NA
"24","android_packages_apps_Dialer",0.893530382836324,0.103486608844398,NA,NA
"25","android_packages_apps_Phone",0.92401527034346,0.0620170081740647,NA,NA
"26","android_packages_apps_Settings",0.92556410732879,0.0706508977028618,NA,NA
"27","android_packages_apps_Trebuchet",0.922695882506303,0.0883504810540212,NA,NA
"28","android_system_core",NA,NA,NA,NA
"29","android-arabic-reader",0.846085835959566,0.0870051062076734,NA,NA
"30","AndroidTD",0.780958753908425,0.177890838624078,NA,NA
"31","anjuta",0.899444376472638,0.0955723251474143,NA,NA
"32","anki",0.799507143036423,0.145875395142741,NA,NA
"33","ANNIS",0.710860303010694,0.158617681443394,NA,NA
"34","AntiCheat",0.822640194018688,0.171923292026679,NA,NA
"35","apache-hosted-cassandra",0.781205176933053,0.131249682844095,NA,NA
"36","apache-tomcat-8",0.725680930712056,0.161955617681802,NA,NA
"37","apc_b2g_build",NA,NA,NA,NA
"38","App-Inventor-Gallery",0.758547622467187,0.157640680776335,NA,NA
"39","appfuse",NA,NA,NA,NA
"40","application",0.772148183244326,0.114592837749838,NA,NA
"41","archiva",0.768222026942734,0.150028375301486,NA,NA
"42","ardupilot-mega",0.83356547352713,0.0834698077168008,NA,NA
"43","ares-project",0.76383124206548,0.0354308811877493,NA,NA
"44","aries",0.774994145860943,0.0901703647400303,NA,NA
"45","arquillian-graphene",0.790186601898788,0.139757346819562,NA,NA
"46","astridclone",0.733987059900154,0.186833312874242,NA,NA
"47","atlas",0.798133617390895,0.110444905615363,NA,NA
"48","atmosphere",0.70627679783842,0.20177889473971,NA,NA
"49","aura",0.914972343160421,0.0890659426684093,NA,NA
"50","Auto-B-Day",0.777896079262027,0.154167467620949,NA,NA
"51","autopsy",0.815059533316562,0.137016930875489,NA,NA
"52","autotest",0.730953382858464,0.166019220815636,NA,NA
"53","avian",0.812664830134047,0.157237599564922,NA,NA
"54","babble",0.79240308392149,0.122953010542434,NA,NA
"55","bagit-java",0.94340645728975,0.0381005603421953,NA,NA
"56","bandwidth-on-demand",0.792810026387861,0.148311937601555,NA,NA
"57","barry",0.832085465784939,0.0659946645929011,NA,NA
"58","basex-all",0.809278888608033,0.179173249224906,NA,NA
"59","BatooJPA",0.815589806975884,0.172587671182857,NA,NA
"60","beagle",0.744822684320556,0.167649923469344,NA,NA
"61","big-data-plugin",0.8292201414743,0.117485880110193,NA,NA
"62","bigbluebutton",0.790217619686525,0.0776224494273634,NA,NA
"63","biojava",0.728110085728073,0.179954849315224,NA,NA
"64","biosources-test-subtree",0.684905185626685,0.190279588482224,NA,NA
"65","bison",0.726843435846056,0.102275698993495,NA,NA
"66","bitrig-xenocara",0.762978984562516,0.0942969766769757,NA,NA
"67","blacktie",0.748611251504526,0.110830413139497,NA,NA
"68","bloatit",0.848345884092442,0.144918706562333,NA,NA
"69","blojsom-sourceforge",0.896537514532119,0.0374940347015895,NA,NA
"70","blueprints-seas",0.755306790751307,0.182479371972735,NA,NA
"71","boost",0.705311564889457,0.050838644001603,NA,NA
"72","bsc-project",0.773220058316183,0.17740190521369,NA,NA
"73","bw-classic",0.733257403037159,0.111289701037024,NA,NA
"74","caadapter",0.731181651756969,0.0732066715238433,NA,NA
"75","cacique",0.768186588462229,0.0583505757096316,NA,NA
"76","cadmium",0.830093294208448,0.132866083625464,NA,NA
"77","cadpage",0.710555996487767,0.213534766497763,NA,NA
"78","caleydo",0.969708976945795,0.0266097774489778,NA,NA
"79","camlistore",0.764763549316628,0.0928825252563035,NA,NA
"80","camod",0.826543582437355,0.0831180635995846,NA,NA
"81","camunda-bpm-platform",0.785612829326706,0.14443495373639,NA,NA
"82","candlepin",0.798919013074868,0.152492298522528,NA,NA
"83","capdemat",0.782612682272435,0.12480966005859,NA,NA
"84","carat",0.713792617765314,0.206827841982543,NA,NA
"85","carrot2",0.78266733093693,0.0770674198836603,NA,NA
"86","cartoweb3",0.74506804470826,0.0949673972517329,NA,NA
"87","caTissue",0.720844461366536,0.0734914434325579,NA,NA
"88","catissue-core",0.727721723017429,0.0774266390106472,NA,NA
"89","catissue-dynamic-extensions",0.738844864766814,0.156086931470917,NA,NA
"90","cda",0.794528901171396,0.154553502556744,NA,NA
"91","cdt-core",0.802282926236485,0.165137698162567,NA,NA
"92","cedet",0.800724887502216,0.10165079405768,NA,NA
"93","cegis",0.787274898097157,0.157786582685337,NA,NA
"94","cesium2",0.801533977757876,0.154123520751387,NA,NA
"95","ceylon",0.750740776814935,0.133567803655106,NA,NA
"96","cgeo",0.796394545696631,0.159469526630837,NA,NA
"97","ChatHammer-9000",0.764266625650293,0.198071843343072,NA,NA
"98","check_mk",0.767938294010919,0.095201899646389,NA,NA
"99","chico",0.791712109868958,0.0769815596849765,NA,NA
"100","chipster",0.789626934703995,0.0937508738036929,NA,NA
"101","chisimba",0.655571003951819,0.191979498937682,NA,NA
"102","chukwa",0.792500156789082,0.161375179003124,NA,NA
"103","Chunky",0.711650709053967,0.181189134444416,NA,NA
"104","cinder_base",0.804191704740129,0.0917259184743097,NA,NA
"105","Citizens",0.802879611225191,0.164345968573987,NA,NA
"106","ClassyGames",0.769983961730019,0.185962767477546,NA,NA
"107","clever",0.785336025697093,0.157940646785759,NA,NA
"108","clocc",0.741166928262782,0.1188993922127,NA,NA
"109","cloud-odata-java",0.729888179549576,0.164759553221704,NA,NA
"110","Cloudify-iTests",0.662701285822097,0.187514900562789,NA,NA
"111","cloudify-widget",0.767028441235667,0.159960204279731,NA,NA
"112","cloudreader",0.780759467389297,0.184063074205187,NA,NA
"113","cmu-sphinx4",0.727710732947705,0.172446060224321,NA,NA
"114","coastal-hazards",0.801336253300689,0.107643102737338,NA,NA
"115","cobbler",0.754929800273114,0.130502539593971,NA,NA
"116","cocos2dx-js-callbacks",0.80018300171405,0.171409072485473,NA,NA
"117","coge",NA,NA,NA,NA
"118","collectd",NA,NA,NA,NA
"119","Colloquy",0.759266871913361,0.161982649905876,NA,NA
"120","com",0.700706648745062,0.161216347673474,NA,NA
"121","commons-lang",0.795916795750027,0.174544308144657,NA,NA
"122","commons-math-optimizers",0.778417418528006,0.149638347974378,NA,NA
"123","commons-vfs",0.664650735394894,0.159302877911825,NA,NA
"124","commonsense-frontend",0.815898891721693,0.175700316042507,NA,NA
"125","console",0.77329250193284,0.15821211966291,NA,NA
"126","Contiki-IDS",0.677388623481833,0.175376400993646,NA,NA
"127","continuum",0.757498953165294,0.109144880770778,NA,NA
"128","core",0.784033937132999,0.14217299084365,NA,NA
"129","core-geonetwork",0.773827883738665,0.143509245119742,NA,NA
"130","corsix-th",0.812600058032455,0.170056310784126,NA,NA
"131","cosmo",0.738972285119845,0.200380434376574,NA,NA
"132","coweb",0.79044483071486,0.1461517218574,NA,NA
"133","cpu-bitminer",0.725404029349914,0.125403341967506,NA,NA
"134","crtmpserver",0.79277497086241,0.177868657024366,NA,NA
"135","crtmpserver-os_x",0.795723787078548,0.176248081251214,NA,NA
"136","crtools",0.704901319326349,0.0272844531685744,NA,NA
"137","cruisecontrol",0.770443387367917,0.138403466175357,NA,NA
"138","crux-framework",0.791229833643022,0.0817428242926399,NA,NA
"139","CS143-Project",0.781325792550394,0.167779334004889,NA,NA
"140","csft5",0.711527534525715,0.216365763690091,NA,NA
"141","csipsimple",0.779939750812141,0.187067124780565,NA,NA
"142","csolve",0.75350060255324,0.14321741227586,NA,NA
"143","ctags",0.771384515224965,0.0848348940009828,NA,NA
"144","CVC4",0.8154426487633,0.174595164983868,NA,NA
"145","cyberdojo",0.718093245763661,0.0950843693570873,NA,NA
"146","cyklotron",NA,NA,NA,NA
"147","cytoscape-impl",0.760339414932483,0.191382829841559,NA,NA
"148","cytoscape2",0.765859610270448,0.158539014113366,NA,NA
"149","dANN",0.746120292461877,0.196091085333329,NA,NA
"150","dasher",0.86259906611119,0.119364712544572,NA,NA
"151","databus",0.791470224019591,0.141546525987674,NA,NA
"152","datahappi",0.724512502774815,0.198291112550005,NA,NA
"153","dbflute",NA,NA,NA,NA
"154","DBS",0.749253822926134,0.155459835292538,NA,NA
"155","dcache",0.741922654410046,0.143055378754831,NA,NA
"156","ddb-next",0.792160548998069,0.0563152566415306,NA,NA
"157","ddd",0.81129311001653,0.150633909191736,NA,NA
"158","deegree3",0.716872031979652,0.162791903169778,NA,NA
"159","delving",0.793425984217462,0.0971922721537388,NA,NA
"160","Demigods",0.756876772785438,0.179099198794582,NA,NA
"161","Denizen",0.781237658271039,0.18655495870105,NA,NA
"162","derby",0.701758469272729,0.149299309644497,NA,NA
"163","development",0.859329221799976,0.0408525782576053,NA,NA
"164","dimple",0.811457447231615,0.154715147776749,NA,NA
"165","directory-shared",0.68478412099775,0.212431470949026,NA,NA
"166","directory-studio",0.795110324997572,0.115068973025435,NA,NA
"167","DMDirc",0.848712400533706,0.15737541690046,NA,NA
"168","dnd",0.735405027615839,0.189231779827998,NA,NA
"169","Docear",0.773146140476979,0.147521709642604,NA,NA
"170","dojox",0.721561485814706,0.210662331162508,NA,NA
"171","dojox-oldmirror",0.724442566695793,0.209332068221453,NA,NA
"172","domjudge",0.726712786744421,0.136082955646878,NA,NA
"173","dotCMS",0.810885808640438,0.108704933717981,NA,NA
"174","dresdenocl",0.873332793608819,0.0474873640706115,NA,NA
"175","drools",0.756226759931961,0.15529566908849,NA,NA
"176","druid",0.815994357758682,0.135144501533737,NA,NA
"177","DSpace",0.735135028299345,0.118660834869836,NA,NA
"178","DSpace-SVN-Deprecated",0.695928026165807,0.132576894075282,NA,NA
"179","eclipse",NA,NA,NA,NA
"180","ecologylabFundamental",0.692798341657323,0.204543769815004,NA,NA
"181","elasticsearch",0.791950012982032,0.164851245756493,NA,NA
"182","Electric-Expansion",0.806950202276553,0.176230246722325,NA,NA
"183","EMS",0.878077243519341,0.121897539400373,NA,NA
"184","emul",0.783190336710849,0.163363796361948,NA,NA
"185","encog-java-core",0.738911144576899,0.167435113216009,NA,NA
"186","encuestame",0.805612248813059,0.173160578146278,NA,NA
"187","EnderIO",0.83384800820776,0.144179558793406,NA,NA
"188","enkive",0.777241796216321,0.171152199554523,NA,NA
"189","errai",0.789457394057055,0.177995045228251,NA,NA
"190","escidoc-core",0.738460909232163,0.146420219256956,NA,NA
"191","Essentials",0.715306864897569,0.16190245611564,NA,NA
"192","etoile",0.704216664701046,0.168173005642257,NA,NA
"193","Etoile",0.694508142496972,0.184007342245699,NA,NA
"194","evolution-data-server",NA,NA,NA,NA
"195","experiment",0.85515931384346,0.128392201914367,NA,NA
"196","exponent-cms",0.709419049202023,0.170261968759374,NA,NA
"197","faaa_project",0.809856858301328,0.156977348194858,NA,NA
"198","fbc",0.776754599070055,0.165879211057182,NA,NA
"199","fcrepo",0.783482593869888,0.166436124477761,NA,NA
"200","fcrepo-before33",0.660228600307917,0.166333918940136,NA,NA
"201","fcrepo-historical",0.662016962757249,0.164590544441075,NA,NA
"202","featurehouse",0.700800265287205,0.172649386589468,NA,NA
"203","felix",0.721767057941697,0.1134699907974,NA,NA
"204","FermaNext",0.794271930296423,0.186542298314487,NA,NA
"205","fitnesse",0.797038203725469,0.125048566041649,NA,NA
"206","fixmystreet",0.732963148564595,0.106685897731371,NA,NA
"207","flamingo",0.659183647576664,0.191716037276987,NA,NA
"208","fop",0.732899467158899,0.189772144175867,NA,NA
"209","fossology",0.655628715829279,0.185604532996471,NA,NA
"210","FProj_Gruppe48",0.79073448005117,0.156709572585993,NA,NA
"211","framework",0.819411278012754,0.133413319534147,NA,NA
"212","FrameworkBenchmarks",0.73544758496863,0.142720785537835,NA,NA
"213","frameworks_av",0.889474532928244,0.0879479713553479,NA,NA
"214","freeplane",0.77840026454003,0.0854448685190296,NA,NA
"215","FreeRDP",0.783389895665664,0.145335326099405,NA,NA
"216","fritzing",0.756188712678906,0.152489757468289,NA,NA
"217","Frost",0.739593858602185,0.205927873021408,NA,NA
"218","frostwire-desktop",0.776975483194251,0.160544056532017,NA,NA
"219","functional-tests",0.772609934167593,0.17379273196411,NA,NA
"220","fuse",0.749949104514374,0.134369422181859,NA,NA
"221","g3m",0.787844687101164,0.0899068915119712,NA,NA
"222","galleria",0.767620754280212,0.172220986017593,NA,NA
"223","gatein-portal",0.727990169969053,0.0591479935235366,NA,NA
"224","Gdcm",NA,NA,NA,NA
"225","geany",0.7644435139942,0.163590146170118,NA,NA
"226","genomix",0.742808464628208,0.185292830963932,NA,NA
"227","geo-platform",0.779767743629911,0.190808748764227,NA,NA
"228","geogebra",0.750450515749644,0.168724331630077,NA,NA
"229","geoknow",0.771132163504613,0.175510303624925,NA,NA
"230","geoserver-old",0.732696984122969,0.0983056796508586,NA,NA
"231","geotools",0.768867409661515,0.109306865180051,NA,NA
"232","gephi",0.72300808383799,0.205709541670484,NA,NA
"233","gerrit",0.862607671025398,0.127331531685894,NA,NA
"234","gettext",0.699902561131468,0.0483666634515985,NA,NA
"235","geworkbench-core",NA,NA,NA,NA
"236","gforth",0.762461847404783,0.0859481818988793,NA,NA
