"","name","atlas","crtools","dasher","dltk","eclipse","framework","gradecraft-development","jetty-plugin-support","jetty-spdy","lenskit","Linuxbog","mlt","oi-userland","packages_apps_Camera","playframework","riot","scalaris","thinkparity","wala-mirror","xrootd"
"1","atlas",0.794271646675026,0.671212280366692,0.781008108660077,NA,0.630425145967693,0.722419773547774,0.776716652314376,0.7,0.711637367257619,0.733597580580339,0.616439768976898,0.633537394519894,0.863346342067769,0.822390622300694,0.851024728846996,0.750658453643126,0.773583632055195,0.754916169023817,NA,0.68524748971736
"2","crtools",0.608024083931534,0.718268947504522,0.541268618319734,NA,0.648199946015251,0.408300625705172,0.568400557265641,0.428571428571429,0.542561801031778,0.606150082443186,0.614779290429043,0.621043408670696,0.673514554577554,0.691468558974554,0.40961814347307,0.486754824455101,0.720776475520202,0.468884851503909,NA,0.652709813614121
"3","dasher",0.743581867384533,0.636196046600458,0.860120116393904,NA,0.461273252806082,0.722879638676908,0.703005448612465,0.79047619047619,0.698773418655499,0.738196449403346,0.565305280528053,0.636581814647772,0.572170318685836,0.682880984589618,0.829502041591583,0.750557121267143,0.725604578704477,0.758137205473435,NA,0.690485076886025
"4","dltk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","eclipse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","framework",0.768829913922378,0.500732906799083,0.653635924580959,NA,0.502581386829649,0.826213199376866,0.724641557208041,0.885714285714286,0.671344380688489,0.601270428856636,0.602423679867987,0.613965908013788,0.720458628282453,0.813921024352679,0.81700427791738,0.708315376133372,0.618661560269578,0.684064414703045,NA,0.553797883061125
"7","gradecraft-development",0.79228663830085,0.698239591291062,0.6880460153969,NA,0.589151154084685,0.681127251913327,0.796438231805057,0.714285714285714,0.704211728939663,0.749617111686077,0.674030528052805,0.668297236430216,0.79212492890248,0.834728188145454,0.746139969773029,0.764666724019413,0.793247760918299,0.76066894045761,NA,0.720789028621864
"8","jetty-plugin-support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","jetty-spdy",0.764258350692153,0.638775783040489,0.838479146342425,NA,0.387306112808846,0.763655262973453,0.681133321908862,0.761904761904762,0.788201234330833,0.725936012573944,0.499216171617162,0.636338099060413,0.624833167204474,0.827550596885129,0.850919927305622,0.748889686680293,0.707814492836004,0.712420516075555,NA,0.710329461562369
"10","lenskit",0.78760175072606,0.688424847211612,0.743187270516856,NA,0.505457360081491,0.7381383312788,0.718191271942813,0.80952380952381,0.740689135940082,0.799173286646571,0.555765264026403,0.675853619468931,0.761852871776678,0.827658081105323,0.856878266654452,0.730311946549446,0.762252333227937,0.720380290865801,NA,0.777847083659046
"11","Linuxbog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
