"","name","atlas","crtools","dasher","dltk","eclipse","framework","gradecraft-development","jetty-plugin-support","jetty-spdy","lenskit","Linuxbog","mlt","oi-userland","packages_apps_Camera","playframework","riot","scalaris","thinkparity","wala-mirror","xrootd"
"1","atlas",0.111789048987747,0.115696599794051,0.165359993801698,0.0356941203288839,0.0676506764653772,0.218150563589314,0.151619692349291,0.239053560220402,0.229251029707064,0.176095584427812,0.0719215687616059,0.20807150588078,0.0479510621291794,0.159719458660813,0.0636381000071288,0.15299482496656,0.133421172019043,0.283974853041735,0.0949584652381385,0.159460226262822
"2","crtools",0.148023221639333,0.0271929369238755,0.21184567587573,0.00213663274618873,0.00849865964998211,0.226087589536005,0.192636756714829,0.0766506037357413,0.295188364512779,0.171925289192182,0.00903213264296705,0.246741982268967,0.0146495450456992,0.185011577748964,0.0442676996224963,0.18372737877713,0.0240202955392396,0.266901792224856,0.0055632490293895,0.187693389518035
"3","dasher",0.179778620837529,0.0849110550183542,0.119736869482351,0.286859331578081,0.180777434309722,0.195273623044325,0.25482444069867,0.249146299703252,0.215578550593483,0.176133703691854,0.0666868638182244,0.207518970146966,0.246559710693087,0.159986146511926,0.112306971847153,0.14824142497672,0.153866291234552,0.384089081606935,0.24938999813574,0.196166399602502
"4","dltk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","eclipse",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","framework",0.116807016948489,0.044892232514166,0.162409168160699,0.0226216149270179,0.0377623524899412,0.131415085123444,0.145899770802635,0.111530996254954,0.183068311359974,0.19046684255741,0.0216850695166043,0.212315020214162,0.0455218607612983,0.158788264669528,0.108942783119676,0.144231222688244,0.0474338939593789,0.243877479465849,0.0555392658937347,0.175666317233863
"7","gradecraft-development",0.109355224136418,0.11049923394613,0.188632019011591,0.0401336468342115,0.052615227784878,0.199898254257876,0.127786468343979,0.114701588213467,0.214052508558461,0.13699147443697,0.0576544878272503,0.180503230537862,0.0331529394170212,0.144216533295395,0.0448378556082227,0.130945540810082,0.11920614346148,0.17393633404484,0.0811513314051867,0.14143663537049
"8","jetty-plugin-support",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","jetty-spdy",0.14231615738071,0.0970335973895299,0.130596614745311,0.222300624814054,0.144623418044484,0.152219549938187,0.212172886067884,0.124429233699593,0.151513156323246,0.161427304384536,0.0460534526451253,0.199118335079369,0.213205548417357,0.140478264291833,0.0950713122647945,0.136444424389457,0.16497548530741,0.320390975721921,0.217446170293371,0.177381327030136
"10","lenskit",0.120504140304677,0.22547312278471,0.153117748999977,0.10784167586643,0.0999787773236695,0.165896524883613,0.145244869813241,0.122126284332655,0.174709997548302,0.116255890877497,0.0836844209311954,0.1971977837491,0.139867479475906,0.133884522643877,0.0770359908019231,0.13169411606287,0.202831842236476,0.175651619398405,0.160085127619211,0.146513541941628
"11","Linuxbog",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","mlt",0.12109823917822,0.0829926653416003,0.206028253050478,0.0949882128667128,0.0803769296245305,0.199761774596977,0.15225902558267,0.0754114464079263,0.245601785972119,0.153441836574083,0.0363749271714434,0.166646242729487,0.125911519700602,0.153736376197959,0.0471302755664261,0.174336291752661,0.0648377978175869,0.219920718110227,0.0432649200837798,0.136184887452585
"13","oi-userland",0.151929878809296,0.0288505659762481,0.211203836418272,0.000326250846589943,0.00882590133814643,0.225927271360967,0.193805485355406,0.0765418391959118,0.271937836435361,0.17583363638591,0.0185398347403025,0.254529484458885,0.00629061423367553,0.189406592735108,0.0439437112867739,0.176933267909852,0.0208911833371801,0.265568609821448,0.00986953859486727,0.197056465208803
"14","packages_apps_Camera",0.186160072842375,0.0849475266405525,0.152474010074151,0.316033411652604,0.210079445402189,0.218713425516227,0.230264313668261,0.167736855842167,0.22907199208498,0.138327525091316,0.0951297569220104,0.231420299305501,0.194312404845283,0.100219887891315,0.0714088062569685,0.156351668638968,0.133099225125,0.336332184034979,0.166849224551494,0.227853249748948
"15","playframework",0.121019335341099,0.0299011764426989,0.176538232442797,0.0178831348532561,0.0178682326072568,0.198474840856372,0.159785748263239,0.0689926919913918,0.240934727753699,0.14023891068021,0.0084822833809276,0.21799975057723,0.0357680929666044,0.183417022080649,0.0378408745344997,0.143626693503158,0.0290404294450239,0.169385969671929,0.0267488323683857,0.159287320291379
"16","riot",0.111915819963897,0.120560641519196,0.203040592064101,0.0898286345153345,0.0859249969525506,0.230201206672122,0.136505893814411,0.0911160609266961,0.301017935777949,0.129608787303464,0.126316588613636,0.204634446692273,0.0499090663486066,0.166032464758177,0.0454614543930893,0.120659073470511,0.0958734826840548,0.211533873486012,0.0854281777301119,0.167139229658074
"17","scalaris",0.148679729561341,0.0290345934322375,0.210235627954887,0.00137541350152284,0.00797423207853786,0.228923676648845,0.194708260280816,0.0771081483183407,0.243318272961214,0.163902172823525,0.0104722682513604,0.248844917325708,0.00908741473460355,0.188607460955428,0.0446227367920851,0.171409542735535,0.0202982792884903,0.264780710281177,0.00565381348779417,0.191922733329828
"18","thinkparity",0.125736466268444,0.0919386613390899,0.6456451849012,0.0382066032433465,0.0808241976580389,0.349164714348276,0.165518292105739,0.115142941126829,0.19200755413781,0.242039125236041,0.0348379154349464,0.211543555730683,0.325445770633866,0.193026804316271,0.390263547078726,0.13420526914149,0.0516377993175794,0.138626023648284,0.0657980907084078,0.159625344144203
"19","wala-mirror",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","xrootd",0.113568199462107,0.0688706167519427,0.161965179879169,0.0569884501909907,0.0476167001812711,0.180913618378854,0.17952269481259,0.0693628059551572,0.209335714091379,0.155047074119208,0.0247098172125961,0.184592514578257,0.10352529745571,0.13300153916066,0.0553771467551054,0.176586529529239,0.0719443236085341,0.248053753066162,0.0381206335479462,0.124174676546895
