"","proj","AUC","Brier","Chi","Pval"
"1","4Dnest",0.805072079111293,0.151841374707031,0.112962348162121,8.86676921574292e-05
"2","accumulo",0.808273472311184,0.132850635240172,0.118674189070308,0
"3","ace",0.756325817243081,0.163803887144905,3.35927197321254e-06,0.968182294370971
"4","activemq-cpp",0.794499432416068,0.156081438597805,0.0601258942418893,3.42869620473252e-08
"5","Activiti",0.812631104458902,0.127399869149883,0.0311907159845752,1.59452080761291e-07
"6","adempiere",0.688263347082886,0.13023890113534,0.24273865672991,0
"7","adobe-flex-pmd",0.820149171216296,0.15997809030642,0.0359204328228456,0.0198198186187641
"8","aio-portal",0.707042189306374,0.0898510293992641,0.23334361952923,0
"9","ajaxplorer",0.836222429793009,0.054180963619695,0.0474599832408335,0.000715885737461841
"10","ajaxplorer-core",0.844484675273805,0.0309303772912846,0.00652949554362119,0.190246166126233
"11","AKeyboard",0.902119049326402,0.107499803715612,0.00333055145489481,0.0490251549533393
"12","akvo-flow",0.806869625050569,0.125515943419614,0.00515122780480757,0.0157536559491634
"13","Alitheia-Core",0.746101209090908,0.140862563084404,0.615585000112157,0
"14","ambari",0.743195231933284,0.135676667263692,0.057520973192331,0
"15","amcat",0.77884200866681,0.176963296787937,0.00517184760860893,0.138774843262378
"16","amuse",0.794674647111747,0.154076354372301,0.0248764762764004,5.49486021794721e-07
"17","andors-trail",0.836136993742756,0.122572610108218,0.027329664506625,0.0480947237428909
"18","android",0.762669863755204,0.137900987448938,0.0139294234242618,0.0771149144888242
"19","android_build",NA,NA,NA,NA
"20","android_dalvik",0.878361919539349,0.0964805022607598,0.0277635281575208,2.3290778528029e-08
"21","android_packages_apps_Calendar",0.940272324799482,0.0650051686791716,0.0566463315024768,0
"22","android_packages_apps_Contacts",0.938572000405537,0.0850279364111205,0.0190583133734026,1.24208310303686e-10
"23","android_packages_apps_DeskClock",0.951793603791154,0.0510398509260456,0.0173615022538569,7.45347505115568e-06
"24","android_packages_apps_Dialer",0.891066698798482,0.105249082573337,0.00269847298851297,0.477617886169049
"25","android_packages_apps_Phone",0.921297643100127,0.0621393796254093,0.00271925919028118,0.110023316219308
"26","android_packages_apps_Settings",0.925872515770987,0.0702999493736809,0.000467625088906907,0.440196773440165
"27","android_packages_apps_Trebuchet",0.922675819341259,0.0880657601498228,0.000166336206807005,0.595112387279968
"28","android_system_core",NA,NA,NA,NA
"29","android-arabic-reader",0.849542443609324,0.0864073396572698,0.00334657748651968,0.0244340760026232
"30","AndroidTD",0.778779803468745,0.175782071349921,0.0144324818319472,0.153334889117809
"31","anjuta",0.900753728632206,0.094897152188815,0.000876924699140991,0.243769756969919
"32","anki",0.802905688911575,0.145134962990015,0.00819897268606856,0.0184353737898567
"33","ANNIS",0.729281246745294,0.154610681019481,0.206397511889435,0
"34","AntiCheat",0.818806697546419,0.17413767247934,0.00275333523329359,0.518813245555815
"35","apache-hosted-cassandra",0.816942073509228,0.120808719388319,0.321824876097836,0
"36","apache-tomcat-8",0.799155850360754,0.136968604000276,0.578105197828544,0
"37","apc_b2g_build",NA,NA,NA,NA
"38","App-Inventor-Gallery",0.770220815601335,0.156151395266382,0.129855936797303,0.000440276837378684
"39","appfuse",NA,NA,NA,NA
"40","application",0.784505194663181,0.114145382272539,0.0961737187477133,2.94744206819075e-09
"41","archiva",0.787613011699082,0.143793738014995,0.0649528912586319,1.11022302462516e-16
"42","ardupilot-mega",0.838606844019232,0.0818945971176721,0.00159567847871495,0.257653024755267
"43","ares-project",0.772563428659194,0.0358665237612878,0.00482279562562456,0.270550342327906
"44","aries",0.773320637620021,0.0901400537477121,0.000997390880616936,0.556922153985543
"45","arquillian-graphene",0.826275885991097,0.132413984304094,0.286997816267468,9.65646451689395e-11
"46","astridclone",0.737195231740098,0.185043814664751,0.0247268106732563,0.000119393193902417
"47","atlas",0.799230475208403,0.110193341053514,0.00552945248153963,0.0553926724207555
"48","atmosphere",0.717073743989966,0.198902847998387,0.0256220257308816,0.000930601976449674
"49","aura",0.931669076332777,0.0842343854737114,0.116037879904264,0
