"","proj","AUC","Brier","Chi","Pval"
"2","4Dnest",0.819389155696789,0.149594974211239,0.192574675249336,3.89657058508242e-07
"6","accumulo",0.820528141842224,0.128215927649643,0.309138337283841,0
"7","ace",0.772605649894893,0.155640762031801,0.33412356917025,0
"9","activemq-cpp",0.792082483695191,0.15745123639753,0.000440285650517849,0.642955418989989
"10","Activiti",0.827843067144609,0.121430146641586,0.241982794336889,0
"12","adempiere",0.678679583633192,0.13186234432604,0.0849562211787656,1.45126466399859e-10
"14","adobe-flex-pmd",0.819719020944247,0.160029958728031,0.0277439689231577,0.0415730534048621
"17","aio-portal",0.687801052663379,0.0912278882460923,0.0693117824737726,1.84303842688527e-05
"18","ajaxplorer",0.846170446730365,0.0528553290875446,0.182265637310781,3.86002341201674e-12
"19","ajaxplorer-core",0.859772965587389,0.0296344760601151,0.24593376552843,0
"20","AKeyboard",0.915878681474565,0.0998656176255412,0.25404629347593,0
"21","akvo-flow",0.824155568884902,0.121320892045182,0.176914176522437,0
"22","Alitheia-Core",0.679653371280529,0.148549342205316,0.317861340145203,0
"25","ambari",0.738103915096291,0.136430011714591,0.0177002220347065,9.14298048826367e-07
"26","amcat",0.786556577818568,0.174387906649037,0.164495041033365,0
"29","amuse",0.795909231986365,0.15373101613359,0.036511362508639,1.07665365511878e-09
"30","andors-trail",0.835530377656445,0.121613963059484,0.0523495996691427,0.00550745534841979
"31","android",0.761851453055674,0.137742087000394,0.0584720629078667,0.000252806771539049
"32","android-arabic-reader",0.8590961382732,0.0835288202750867,0.200834901101154,0
"35","android_build",NA,NA,NA,NA
"37","android_dalvik",0.899171752080645,0.0848544511378835,0.410464833118047,0
"55","android_packages_apps_Calendar",0.951658596713959,0.0570990419821716,0.357479421507393,0
"59","android_packages_apps_Contacts",0.949073712756544,0.0755056206796249,0.28566439577376,0
"61","android_packages_apps_DeskClock",0.957345682888018,0.046448523844932,0.23523327445473,0
"62","android_packages_apps_Dialer",0.904102634308962,0.0979255468178485,0.246360021970554,3.02534775009633e-10
"72","android_packages_apps_Phone",0.937824321966271,0.0549453465244539,0.320051984249975,0
"74","android_packages_apps_Settings",0.937669480722322,0.0632569575875469,0.292617424085332,0
"76","android_packages_apps_Trebuchet",0.933338563147057,0.0797786492971482,0.272602072494685,0
"83","android_system_core",NA,NA,NA,NA
"84","AndroidTD",0.79093096997728,0.174599479814934,0.0638346809113531,0.00236839831604341
"87","anjuta",0.909704603511379,0.0922538425920714,0.118741616886312,0
"89","anki",0.818992868261483,0.139376606134073,0.243969969909065,0
"90","ANNIS",0.747680357290384,0.151197850615876,0.304896057714548,0
"91","AntiCheat",0.833331962801199,0.166612763274788,0.133681300057326,2.49585262468432e-06
"94","apache-hosted-cassandra",0.794327452854422,0.127356660168499,0.0855662228517734,0
"95","apache-tomcat-8",0.745320152285111,0.157006005431865,0.160509625708412,0
"96","apc_b2g_build",NA,NA,NA,NA
"98","appfuse",NA,NA,NA,NA
"99","App-Inventor-Gallery",0.768662411104813,0.153327274413241,0.259626208813797,5.21396366859328e-07
