"","name","wilcoxP","cdEst","cdMag"
"1","4Dnest",0.63220181521735,-0.0165023011176857,"negligible"
"2","accumulo",0.124881079432189,0.0466995397764629,"negligible"
"3","ace",NA,NA,NA
"4","activemq-cpp",0.929684189179629,-0.00424939732632041,"negligible"
"5","Activiti",0.450700749391832,0.0222003068156914,"negligible"
"6","adempiere",0.261084622805005,0.0338045145737453,"negligible"
"7","adobe-flex-pmd",0.545093179079018,-0.0204777558623712,"negligible"
"8","aio-portal",0.109765068536851,0.0487310979618672,"negligible"
"9","ajaxplorer",0.358532216436001,0.0273504273504274,"negligible"
"10","ajaxplorer-core",0.913387401313335,0.00193951347797502,"negligible"
"11","AKeyboard",0.790144641857607,0.00688143765066842,"negligible"
"12","akvo-flow",0.990976500511892,-0.00112206881437651,"negligible"
"13","Alitheia-Core",2.71214175375919e-06,0.14580758273066,"negligible"
"14","ambari",0.515635382162457,0.0189305281612974,"negligible"
"15","amcat",0.789607053066007,-0.00985754985754986,"negligible"
"16","amuse",0.283768891249871,0.0321761998685076,"negligible"
"17","andors-trail",0.554782904960615,-0.0200219154065308,"negligible"
"18","android",6.51314187926723e-06,0.140078895463511,"negligible"
"19","android_dalvik",0.813893958519184,0.00592373438527285,"negligible"
"20","android_packages_apps_Calendar",9.97402675389336e-14,0.232123602892834,"small"
"21","android_packages_apps_Contacts",1.15452537902227e-56,0.496552706552707,"large"
"22","android_packages_apps_DeskClock",2.30161449426147e-57,-0.502603550295858,"large"
"23","android_packages_apps_Dialer",2.5267119994697e-86,0.616778435239974,"large"
"24","android_packages_apps_Phone",3.28414311488985e-39,-0.412724085031777,"medium"
"25","android_packages_apps_Settings",1.49844688786174e-37,-0.403519614288845,"medium"
"26","android_packages_apps_Trebuchet",5.4433286660864e-36,0.391768573307035,"medium"
"27","android-arabic-reader",2.71270835144036e-65,-0.53718167872014,"large"
"28","AndroidTD",0.0332441710317529,0.0653670830593907,"negligible"
"29","anjuta",0.989528361947352,-0.00106508875739645,"negligible"
"30","anki",0.811294367673808,0.00601797063335525,"negligible"
"31","ANNIS",0.0585972295843734,0.057893929432391,"negligible"
"32","AntiCheat",NA,NA,NA
"33","apache-hosted-cassandra",NA,NA,NA
"34","apache-tomcat-8",NA,NA,NA
"35","App-Inventor-Gallery",NA,NA,NA
"36","application",NA,NA,NA
"37","archiva",7.17281400325467e-05,0.123177733946965,"negligible"
"38","ardupilot-mega",0.871224642934271,0.00361165899627438,"negligible"
"39","ares-project",0.957908979653876,0.000179706333552485,"negligible"
"40","aries",0.789069564403154,-0.00987946526408065,"negligible"
"41","arquillian-graphene",0.018251378587259,0.0726232741617357,"negligible"
"42","astridclone",2.14396396260592e-09,0.186451895682665,"small"
"43","atlas",0.955461713691031,-0.00323471400394478,"negligible"
"44","atmosphere",2.70969658060329e-31,0.36382204689897,"medium"
"45","aura",0.0110974341350801,0.0782489590181898,"negligible"
"46","Auto-B-Day",0.531816849313312,0.0181525312294543,"negligible"
"47","autopsy",4.99162184666382e-13,0.225364891518738,"small"
"48","autotest",0.804264327851213,0.00630287091825554,"negligible"
"49","avian",0.826378311944677,0.00541091387245234,"negligible"
"50","babble",5.00913642610862e-122,0.735982905982906,"large"
"51","bagit-java",0.761370499790318,0.0080582949813719,"negligible"
"52","bandwidth-on-demand",0.813460550170922,0.00593030900723208,"negligible"
"53","barry",0.494052879927631,0.0199934253780408,"negligible"
"54","basex-all",0.526698442712903,-0.0213543721236029,"negligible"
"55","BatooJPA",2.00445207626278e-08,0.17468332237563,"small"
"56","beagle",0.101320718065769,0.0499605522682446,"negligible"
"57","big-data-plugin",0.00135426814561027,0.099112426035503,"negligible"
"58","bigbluebutton",5.93369535592849e-07,0.155277229892614,"small"
"59","biojava",3.62099402404885e-09,0.183756300679378,"small"
"60","biosources-test-subtree",1.28396220568641e-61,0.518481262327416,"large"
"61","bison",0.485365026991932,0.0204273504273504,"negligible"
"62","bitrig-xenocara",0.861558961270921,-0.00695375849222003,"negligible"
"63","blacktie",0.0787709048900561,-0.0566644751260136,"negligible"
"64","bloatit",0.0883610265405275,0.0520271751040982,"negligible"
"65","blojsom-sourceforge",NA,NA,NA
"66","blueprints-seas",NA,NA,NA
"67","boost",NA,NA,NA
"68","bsc-project",NA,NA,NA
"69","bw-classic",NA,NA,NA
"70","caadapter",NA,NA,NA
"71","cacique",NA,NA,NA
"72","cadmium",NA,NA,NA
"73","cadpage",NA,NA,NA
"74","caleydo",NA,NA,NA
"75","camlistore",NA,NA,NA
"76","camod",NA,NA,NA
"77","camunda-bpm-platform",NA,NA,NA
"78","candlepin",NA,NA,NA
"79","capdemat",NA,NA,NA
"80","carat",NA,NA,NA
"81","carrot2",NA,NA,NA
"82","cartoweb3",NA,NA,NA
"83","caTissue",NA,NA,NA
"84","catissue-core",NA,NA,NA
"85","catissue-dynamic-extensions",NA,NA,NA
"86","cda",NA,NA,NA
"87","cdt-core",NA,NA,NA
"88","cedet",NA,NA,NA
"89","cegis",NA,NA,NA
"90","cesium2",NA,NA,NA
"91","ceylon",NA,NA,NA
"92","cgeo",NA,NA,NA
"93","ChatHammer-9000",NA,NA,NA
"94","check_mk",NA,NA,NA
"95","chico",0.923915610833551,-0.00447950909489371,"negligible"
"96","chipster",0.205124836154519,0.0383037475345168,"negligible"
"97","chisimba",9.56065209019605e-08,0.165998246767478,"small"
"98","chukwa",0.289134039728822,0.031799254876178,"negligible"
"99","Chunky",8.91981503875639e-20,0.284236248082402,"small"
